LOCALIDAD;DEPARTAMENTO;POBLACIÓN
ACHIRAS;RIO CUARTO;2398
ADELIA MARIA;RIO CUARTO;7739
AGUA DE ORO;COLON;2163
ALCIRA GIGENA;RIO CUARTO;5924
ALDEA SANTA MARIA;UNION;201
ALEJANDRO ROCA;JUAREZ CELMAN;5394
ALEJO LEDESMA;MARCOS JUAREZ;3385
ALICIA;SAN JUSTO;3318
ALMAFUERTE;TERCERO ARRIBA;11845
ALPA CORRAL;RIO CUARTO;966
ALTA GRACIA;SANTA MARIA;48506
ALTO ALEGRE;UNION;817
ALTO DE LOS QUEBRACHOS;CRUZ DEL EJE;268
ALTOS DE CHIPION;SAN JUSTO;1793
AMBOY;CALAMUCHITA;228
AMBUL;SAN ALBERTO;732
ANA ZUMARAN;UNION;98
ANISACATE;SANTA MARIA;3350
ARIAS;MARCOS JUAREZ;7249
ARROYITO;SAN JUSTO;22726
ARROYO ALGODON;GENERAL SAN MARTIN;692
ARROYO CABRAL;GENERAL SAN MARTIN;2793
ARROYO LOS PATOS;SAN ALBERTO;634
ASSUNTA;JUAREZ CELMAN;73
ATAHONA;RIO PRIMERO;224
AUSONIA;GENERAL SAN MARTIN;1133
AVELLANEDA;ISCHILIN;323
BALLESTEROS;UNION;3928
BALLESTEROS SUD;UNION;538
BALNEARIA;SAN JUSTO;6171
BAÑADO DE SOTO;CRUZ DEL EJE;941
BELL VILLE;UNION;34439
BENGOLEA;JUAREZ CELMAN;917
BENJAMIN GOULD;UNION;704
BERROTARAN;RIO CUARTO;6886
BIALET MASSE;PUNILLA;5449
BOUWER;SANTA MARIA;1786
BRINKMANN;SAN JUSTO;9963
BUCHARDO;GENERAL ROCA;1795
BULNES;RIO CUARTO;1051
CABALANGO;PUNILLA;475
CALCHIN;RIO SEGUNDO;2447
CALCHIN OESTE;RIO SEGUNDO;765
CAMILO ALDAO;MARCOS JUAREZ;5209
CAMINIAGA;SOBREMONTE;362
CANALS;UNION;8676
CANDELARIA SUD;TOTORAL;125
CAÑADA DE LUQUE;TOTORAL;1217
CAÑADA DE MACHADO;RIO PRIMERO;203
CAÑADA DE RIO PINTO;ISCHILIN;193
CAÑADA DEL SAUCE;CALAMUCHITA;75
CAP.GENERAL. B O'HIGGINS;MARCOS JUAREZ;497
CAPILLA DE LOS REMEDIOS;RIO PRIMERO;342
CAPILLA DE SITON;TOTORAL;550
CAPILLA DEL CARMEN;RIO SEGUNDO;556
CAPILLA DEL MONTE;PUNILLA;11281
CARNERILLO;JUAREZ CELMAN;1928
CARRILOBO;RIO SEGUNDO;1772
CASA GRANDE;PUNILLA;701
CAVANAGH;MARCOS JUAREZ;1240
CERRO COLORADO;RIO SECO;285
CHAJAN;RIO CUARTO;767
CHALACEA;RIO PRIMERO;180
CHANCANI;POCHO;463
CHAÑAR VIEJO;RIO SECO;186
CHARBONIER;PUNILLA;553
CHARRAS;JUAREZ CELMAN;1117
