COOPERACIÓN;CAPACITADOS ;Vigencia automotor;Firmaron convenio Automotor;NOTA (ACARA Y DNRPA);ORDENANZA AUTOMOTOR;ADENDAS;CCI EXPRÉS;ORDENANZA CCI;MONOTRIBUTO UNIFICADO;ORDENANZA MUC;ANEXO MUC ;NOMENCLADOR;Interesados en firmar Inmobiliario Córdoba;LOCALIDAD;DEPARTAMENTO;CUIT;POBLACIÓN 
SI ;SI;Sin convenio;NO;;;;SI;;01/04/2019;SI;SI;SI;;ACHIRAS;RIO CUARTO;30999139023;2398
SI ;SI;Sin convenio;NO;;;;SI;SI;01/01/2019;SI;SI;SI;;ADELIA MARIA;RIO CUARTO;30999051290;7739
SI ;SI;Sin convenio;NO;;;;;;;;;;;AGUA DE ORO;COLON;30678715332;2163
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;;;01/03/2019;SI;SI;SI;;ALCIRA GIGENA;RIO CUARTO;30581388655;5924
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;;ALDEA SANTA MARIA;UNION;30668840848;201
SI ;SI;Sin convenio;NO;;;;SI;SI;01/03/2019;SI;SI;SI;;ALEJANDRO ROCA;JUAREZ CELMAN;30999097258;5394
SI ;SI;2020;SI;SI;SI;SI;SI;SI;01/01/2020;SI;SI;SI;;ALEJO LEDESMA;MARCOS JUAREZ;30999066034;3385
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;01/03/2019;SI;;SI;;ALICIA;SAN JUSTO;30669170382;3318
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;;01/01/2019;SI;SI;SI;;ALMAFUERTE;TERCERO ARRIBA;30999099471;11845
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;01/02/2019;SI;SI;SI;;ALPA CORRAL;RIO CUARTO;30683936347;966
SI ;SI;Sin convenio;NO;;;;;;;;;;;ALTA GRACIA;SANTA MARIA;30999012260;48506
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/11/2018;SI;;SI;;ALTO ALEGRE;UNION;30668245699;817
NO;NO;Sin convenio;NO;;;;;;;;;;;ALTO DE LOS QUEBRACHOS;CRUZ DEL EJE;30668551692;268
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;SI;SI;Pendiente;;ALTOS DE CHIPION;SAN JUSTO;33669144739;1793
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;SI;SI;Pendiente;;AMBOY;CALAMUCHITA;30668687187;228
SI ;SI;2021;SI;SI;SI;SI;SI;;SI;Pendiente;SI;Pendiente;;AMBUL;SAN ALBERTO;30669246966;732
SI ;SI;Sin convenio;NO;;;;;;;;;;;ANA ZUMARAN;UNION;30669069592;98
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;;;SI;Pendiente;SI;Pendiente;SI;ANISACATE;SANTA MARIA;30709912271;3350
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;ARIAS;MARCOS JUAREZ;30999066417;7249
NO;NO;Sin convenio;NO;;;;;;01/11/2020;SI;SI;SI;;ARROYITO;SAN JUSTO;30999056799;22726
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 27.8;SI;;01/06/2019;SI;SI;SI;;ARROYO ALGODON;GENERAL SAN MARTIN;30999114632;692
SI ;SI WEB;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;;;;;;ARROYO CABRAL;GENERAL SAN MARTIN;30999062764;2793
SI ;SI;2020;SI;SI;SI;SI;;;;;;;;ARROYO LOS PATOS;SAN ALBERTO;33669244989;634
NO;NO;Sin convenio;NO;;;;;;;;;;;ASSUNTA;JUAREZ CELMAN;30668849098;73
NO;NO;Sin convenio;NO;;;;;;;;;;;ATAHONA;RIO PRIMERO;30680975740;224
SI ;SI;Sin convenio;NO;;;;SI;SI;SI;Pendiente;Pendiente;Pendiente;;AUSONIA;GENERAL SAN MARTIN;30999114497;1133
SI ;NO;Sin convenio;NO;;;;;;;;;;;AVELLANEDA;ISCHILIN;33682273599;323
SI ;SI;Sin convenio;NO;;;;SI;;SI;Pendiente;SI;Pendiente;;BALLESTEROS;UNION;30999066654;3928
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;BALLESTEROS SUD;UNION;30668255554;538
SI ;SI;Sin convenio;NO;;;;;;01/07/2020;SI;SI;SI;;BALNEARIA;SAN JUSTO;33688853759;6171
SI ;SI;2022;SI;SI;SI;SI;;;;;;;;BAÑADO DE SOTO;CRUZ DEL EJE;30668556260;941
SI ;SI;Sin convenio;NO;;;;SI;;01/02/2019;SI;;SI;;BELL VILLE;UNION;30668248590;34439
SI ;SI;2019;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;01/12/2018;SI;SI;SI;;BENGOLEA;JUAREZ CELMAN;30668860733;917
SI ;SI;Sin convenio;NO;;;;SI;SI;SI;Pendiente;SI;Pendiente;;BENJAMIN GOULD;UNION;30668854385;704
SI ;SI;Sin convenio;NO;;;;SI;SI;01/01/2019;SI;;SI;;BERROTARAN;RIO CUARTO;30999050375;6886
SI ;SI;2020;SI;SI;SI;SI;SI;SI;;;;;;BIALET MASSE;PUNILLA;30678661860;5449
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;;BOUWER;SANTA MARIA;30677565779;1786
SI ;SI;Sin convenio;NO;;;;SI;SI;;;;;;BRINKMANN;SAN JUSTO;;
;30669207316;contaduria@brinkmann.gov.ar;economia@brinkmann.gov.ar;;;;2331;;;;;;;;;;
