COOPERACIÓN;CAPACITADOS ;Vigencia automotor;Firmaron convenio Automotor;DESCUENTO 30%;NOTA (ACARA Y DNRPA);ORDENANZA AUTOMOTOR;ADENDAS;CCI EXPRÉS;ORDENANZA CCI;MONOTRIBUTO UNIFICADO;ORDENANZA MUC;ANEXO MUC ;NOMENCLADOR;LOCALIDAD;DEPARTAMENTO;Telefono Municipio/comuna;CUIT;POBLACIÓN ;M/C;PARTIDO 10/12/2019
SI ;SI;Sin convenio;NO;;;;;SI;;2019-04-01;SI;SI;SI;ACHIRAS;RIO CUARTO;03582-495019-495249 // 03582 495088;30999139023;2398;M;CORDOBA CAMBIA
SI ;SI;Sin convenio;NO;;;;;SI;SI;2019-01-01;SI;SI;SI;ADELIA MARIA;RIO CUARTO;03585-420407 / 420118;30999051290;7739;M;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;AGUA DE ORO;COLON;03525-493071;30678715332;2163;M;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;;;2019-03-01;SI;SI;SI;ALCIRA GIGENA;RIO CUARTO;0358-4969610/611/620;30581388655;5924;M;UCR
SI ;SI;2018;SI;SI;SI;SI;ENVIO DNRPA 27.8;;;;;;;ALDEA SANTA MARIA;UNION;03468-569000;30668840848;201;C;HPC
SI ;SI;Sin convenio;NO;;;;;SI;SI;2019-03-01;SI;SI;SI;ALEJANDRO ROCA;JUAREZ CELMAN;0358-4989111/114;30999097258;5394;M;HPC
SI ;SI;2020;SI;NO;SI;SI;SI;SI;SI;2020-01-01;SI;SI;SI;ALEJO LEDESMA;MARCOS JUAREZ;03468-490600/197;30999066034;3385;M;HPC
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 27.8;;;2019-03-01;SI;;SI;ALICIA;SAN JUSTO;03533-496369/441;30669170382;3318;M;HPC
SI ;SI;2018;SI;NO;Pendiente;SI;ENVIO DNRPA 27.8;SI;;2019-01-01;SI;SI;SI;ALMAFUERTE;TERCERO ARRIBA;03571-470202 / 471110;30999099471;11845;M;UCR
SI ;SI;2019;SI;NO;SI;SI;ENVIO DNRPA 18.6;SI;SI;2019-02-01;SI;SI;SI;ALPA CORRAL;RIO CUARTO;0358-4888008 / 9;30683936347;966;M;UCR
SI ;SI;Sin convenio;NO;;;;;;;;;;;ALTA GRACIA;SANTA MARIA;03547-428130-429303;30999012260;48506;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;2018-11-01;SI;;SI;ALTO ALEGRE;UNION;03534-481015;30668245699;817;M;HPC
NO;NO;Sin convenio;NO;;;;;;;;;;;ALTO DE LOS QUEBRACHOS;CRUZ DEL EJE;03549-423805;30668551692;268;C;UCR
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 18.6;SI;SI;SI;SI;SI;Pendiente;ALTOS DE CHIPION;SAN JUSTO;03562-493109 / 493317 / 493040;33669144739;1793;M;HPC
SI ;SI;2019;SI;SI;SI;SI;ENVIO DNRPA 27.8;SI;SI;SI;SI;SI;Pendiente;AMBOY;CALAMUCHITA;03546-491014;30668687187;228;C;FDT
SI ;SI;2021;SI;SI;SI;SI;SI;SI;;SI;Pendiente;SI;Pendiente;AMBUL;SAN ALBERTO;03542-492244;30669246966;732;C;HPC
SI ;SI;Sin convenio;NO;;;;;;;;;;;ANA ZUMARAN;UNION;0353 - 4507048;30669069592;98;C;UCR
